name,definicion,ambos,total,Taxa,Phylum,TL,catTL,type,source,totales,en_name,en_name_gen
TRUCHA FRESCA,Trucha fresca,1,0,Oncorhynchus mykiss,Chordata,4.08,High,Fresh,Farmed,0,Fresh trout,Trout
ANCHOAS,Anchoas en conserva,0,0,Engraulis encrasicolus,Chordata,3.12,Low,Preserved,Wild,0,Anchovies,Anchovies
DORADA,Dorada fresca y congelada,2,0,Sparus aurata,Chordata,3.7,Medium,Fresh,Farmed,0,Seabream,Seabream
LUBINA,Lubina fresca y congelada,2,0,Dicentrarchus labrax,Chordata,3.47,Medium,Fresh,Farmed,0,Seabass,Seabass
OTROS AHUMADOS,Otros pescados y mariscos ahumados,0,0,NA,NA,3.5916920910969816,Medium,Preserved,Wild,0,Other smoked,Other
RODABALLO,Rodaballo fresco y congelado,2,0,Scophthalmus maximus,Chordata,4.36,High,Fresh,Farmed,0,Turbot,Turbot
SALMON AHUMADO,Salmón ahumado,0,0,Salmo salar,Chordata,4.5,High,Preserved,Farmed,0,Smoked salmon,Salmon
TRUCHA AHUMADA,Trucha ahumada,0,0,Oncorhynchus mykiss,Chordata,4.08,High,Preserved,Farmed,0,Smoked trout,Trout
RAPE,Rape fresco y congelado,2,0,Lophius,Chordata,4.421428571428572,High,Fresh,Wild,0,Monkfish,Monkfish
PESCADO SALADO,"Incluye las salazones de pescado que se compran en la sección de frescos (bacalao, arenque, mojama, etc)",1,0,NA,NA,4.0607692359044005,High,Fresh,Wild,0,Brined fish,Brined fish
BOQUERONES FRESCOS,Boquerones y anchoas frescas,1,0,Engraulis encrasicolus,Chordata,3.12,Low,Fresh,Wild,0,Fresh anchovies,Anchovies
SARDINAS FRESCAS,Sardinas frescas,1,0,Sardina pilchardus,Chordata,3.06,Low,Fresh,Wild,0,Fresh sardine,Sardines
BACALADILLA,Bacaladilla,1,0,Micromesistius poutassou,Chordata,4.13,High,Fresh,Wild,0,Whiting,Whiting
PEZ ESPADA/EMPERADOR,Pez espada o emperador,1,0,Xiphias gladius,Chordata,4.53,High,Fresh,Wild,0,Sword fish,Sword fish
