date,comunidad,var,name,value
1999-02-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS,0.3371125523351922
1999-02-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS CON,0.06506298149025247
1999-02-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS FRE,0.27204957084493975
1999-02-01,Total España,CONSUMO X CAPITA,PESCADOS,1.099029791520953
1999-02-01,Total España,CONSUMO X CAPITA,PESCADOS CONGELADOS,0.2178910276624535
1999-02-01,Total España,CONSUMO X CAPITA,PESCADOS FRESCOS,0.8811387638584994
1999-02-01,Total España,CONSUMO X CAPITA,PULPO,0.0019743774991630068
1999-02-01,Total España,CONSUMO X CAPITA,PULPO CONGELADO,0.003932715374062694
1999-02-01,Total España,CONSUMO X CAPITA,SALMON,0.04528010991448057
1999-02-01,Total España,CONSUMO X CAPITA,SALMON CONGELADO,0.0013769014953543485
1999-02-01,Total España,CONSUMO X CAPITA,SALMON FRESCO,0.04390320841912622
1999-02-01,Total España,CONSUMO X CAPITA,SARDINA/BOQUERON,0.1773994974479612
1999-02-01,Total España,CONSUMO X CAPITA,SARDINAS,0.020547761157828963
1999-02-01,Total España,CONSUMO X CAPITA,TOTAL CARNE,3.61867206194335
1999-02-01,Total España,CONSUMO X CAPITA,TOTAL PESCA,1.7543917968194152
1999-02-01,Total España,CONSUMO X CAPITA,TRUCHA FRESCA,0.04382576710822987
1999-03-01,Total España,CONSUMO X CAPITA,ALMEJAS,0.003335991227641379
1999-03-01,Total España,CONSUMO X CAPITA,ALMEJAS CONGELADO,0.001537798976245774
1999-03-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERB.FRESC",0.06537074178080492
1999-03-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERBERECHO",0.06697896473233184
1999-03-01,Total España,CONSUMO X CAPITA,ATUN,0.14588539505747475
1999-03-01,Total España,CONSUMO X CAPITA,ATUN Y BONITO,0.014660717814932413
1999-03-01,Total España,CONSUMO X CAPITA,BACALAO,0.0537951454452704
1999-03-01,Total España,CONSUMO X CAPITA,BACALAO CONGELADO,0.006990769987516235
1999-03-01,Total España,CONSUMO X CAPITA,BACALAO FRESCO,0.04680462607688327
1999-03-01,Total España,CONSUMO X CAPITA,BERBEREC.CONGELADO,7.067459441025234e-5
1999-03-01,Total España,CONSUMO X CAPITA,BERBERECHOS,0.010318992022155068
1999-03-01,Total España,CONSUMO X CAPITA,CABALLA FRESCA,0.026909477131268133
1999-03-01,Total España,CONSUMO X CAPITA,CALAMAR Y PULPO FR,0.14154792978989236
1999-03-01,Total España,CONSUMO X CAPITA,CALAMARES,0.008118305449401788
1999-03-01,Total España,CONSUMO X CAPITA,CALAMARES CONGELAD,0.01977384928712379
1999-03-01,Total España,CONSUMO X CAPITA,"CALAMARES,PULPO",0.16724240538321403
1999-03-01,Total España,CONSUMO X CAPITA,CHICHARRO/CABALLA,0.006132650089428633
1999-03-01,Total España,CONSUMO X CAPITA,CONS.PESCADO/MOLUSCO,0.28765762896792446
1999-03-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.COCIDO,0.007756160807831522
1999-03-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.CONG.,0.04448213860738041
1999-03-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.FRESCO,0.04019955892907406
1999-03-01,Total España,CONSUMO X CAPITA,GAMBAS/LANGOSTINOS,0.09243760772515688
1999-03-01,Total España,CONSUMO X CAPITA,LENGUADO,0.11907566433959416
1999-03-01,Total España,CONSUMO X CAPITA,LENGUADO CONGELADO,0.019962314872217796
1999-03-01,Total España,CONSUMO X CAPITA,LENGUADO FRESCO,0.09911360008650547
1999-03-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC COCI,0.018703454986676315
1999-03-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC CONG,0.09500369698815891
1999-03-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC FRES,0.3825482967288528
