date,source,catTL,value
2015-05-01,Farmed,Low,0.055086771349440004
2015-05-01,Farmed,Medium,0.08559665210628001
2015-05-01,Mixed,Low,0.64496410555774
2015-05-01,Mixed,Medium,0.47915050961432
2015-05-01,Wild,High,0.82549152347493
2015-05-01,Wild,Low,0.21334208059824
2015-05-01,Wild,Medium,0.11670133696014999
2015-06-01,Farmed,High,0.15546559613069
2015-06-01,Farmed,Low,0.07778631484526999
2015-06-01,Farmed,Medium,0.07591990726808
2015-06-01,Mixed,Low,0.64772121397572
2015-06-01,Mixed,Medium,0.48345891835199
2015-06-01,Wild,High,0.77179198632767
2015-06-01,Wild,Low,0.19283978444575
2015-06-01,Wild,Medium,0.11024995838156
2015-07-01,Farmed,High,0.14370155307028
2015-07-01,Farmed,Low,0.06876611827703001
2015-07-01,Farmed,Medium,0.07967424727227
2015-07-01,Mixed,Low,0.65739647278777
2015-07-01,Mixed,Medium,0.46426409878543
2015-07-01,Wild,High,0.79524575365649
2015-07-01,Wild,Low,0.19629556299168
2015-07-01,Wild,Medium,0.11264156556906
2015-08-01,Farmed,High,0.12901113853007
2015-08-01,Farmed,Low,0.09451103123955
2015-08-01,Farmed,Medium,0.06314526085212
2015-08-01,Mixed,Low,0.63888789488921
2015-08-01,Mixed,Medium,0.42887208528943
2015-08-01,Wild,High,0.69904428418576
2015-08-01,Wild,Low,0.16020934058451
2015-08-01,Wild,Medium,0.1029753459834
2015-09-01,Farmed,High,0.15993412311952002
2015-09-01,Farmed,Low,0.10465508186736
2015-09-01,Farmed,Medium,0.06678325637544
2015-09-01,Mixed,Low,0.68228599458519
2015-09-01,Mixed,Medium,0.47354907656179
2015-09-01,Wild,High,0.77141677873942
2015-09-01,Wild,Low,0.17894474067907
2015-09-01,Wild,Medium,0.11411307890616
2015-10-01,Farmed,High,0.19196156631417
2015-10-01,Farmed,Low,0.11915308594997
2015-10-01,Farmed,Medium,0.09473370650579
2015-10-01,Mixed,Low,0.78525850109078
2015-10-01,Mixed,Medium,0.50796311942366
2015-10-01,Wild,High,0.78789534473447
2015-10-01,Wild,Low,0.17465142309832998
2015-10-01,Wild,Medium,0.11989636152068
2015-11-01,Farmed,High,0.18810197109458
2015-11-01,Farmed,Low,0.11264875247478999
2015-11-01,Farmed,Medium,0.09929147352235
2015-11-01,Mixed,Low,0.85301177632498
2015-11-01,Mixed,Medium,0.5790949020865
2015-11-01,Wild,High,0.72872400784179
2015-11-01,Wild,Low,0.16010441534806
2015-11-01,Wild,Medium,0.11021335425584
2015-12-01,Farmed,High,0.20284896626481
2015-12-01,Farmed,Low,0.16298042625629
2015-12-01,Farmed,Medium,0.11611818076144001
2015-12-01,Mixed,Low,1.72497530326477
2015-12-01,Mixed,Medium,0.90213288533475
2015-12-01,Wild,High,0.83519845735212
2015-12-01,Wild,Low,0.10880493482217
2015-12-01,Wild,Medium,0.11435927526037
2016-01-01,Farmed,High,0.15645664001779
2016-01-01,Farmed,Low,0.11878943247476
2016-01-01,Farmed,Medium,0.12300736493551
2016-01-01,Mixed,Low,0.78514464416734
2016-01-01,Mixed,Medium,0.46699648004041
2016-01-01,Wild,High,0.73215628548151
2016-01-01,Wild,Low,0.11530500356711
2016-01-01,Wild,Medium,0.09996941753583999
2016-02-01,Farmed,High,0.14471981417717
2016-02-01,Farmed,Low,0.10128282814339
2016-02-01,Farmed,Medium,0.09471743464184
2016-02-01,Mixed,Low,0.6602272507136799
2016-02-01,Mixed,Medium,0.45534282593331
2016-02-01,Wild,High,0.83975188860482
2016-02-01,Wild,Low,0.14447088415384
2016-02-01,Wild,Medium,0.11305037312425001
2016-03-01,Farmed,High,0.12569260655849998
2016-03-01,Farmed,Low,0.10123059091396
2016-03-01,Farmed,Medium,0.09410207365521
2016-03-01,Mixed,Low,0.71510166360121
2016-03-01,Mixed,Medium,0.52729003381709
2016-03-01,Wild,High,0.9297109629214699
2016-03-01,Wild,Low,0.16498489587979
2016-03-01,Wild,Medium,0.16615497291498
2016-04-01,Farmed,High,0.13916555440785
2016-04-01,Farmed,Low,0.0815211910712
2016-04-01,Farmed,Medium,0.09405168389833
2016-04-01,Mixed,Low,0.68446715828768
2016-04-01,Mixed,Medium,0.4552527143776
2016-04-01,Wild,High,0.84763067790677
2016-04-01,Wild,Low,0.1947750445033
2016-04-01,Wild,Medium,0.18111367500149
2016-05-01,Farmed,High,0.12957474190727
2016-05-01,Farmed,Low,0.053923163166989994
2016-05-01,Farmed,Medium,0.0857615893449
2016-05-01,Mixed,Low,0.57706828843865
2016-05-01,Mixed,Medium,0.44752395761531
2016-05-01,Wild,High,0.77726994778022
2016-05-01,Wild,Low,0.17037937904716
2016-05-01,Wild,Medium,0.13538114721335
2016-06-01,Farmed,High,0.11853769691285
2016-06-01,Farmed,Low,0.06447512223705
2016-06-01,Farmed,Medium,0.08585904295246
2016-06-01,Mixed,Low,0.61111604872286
2016-06-01,Mixed,Medium,0.46534256384002
2016-06-01,Wild,High,0.81308354943692
2016-06-01,Wild,Low,0.1880863828949
2016-06-01,Wild,Medium,0.13357363041382
2016-07-01,Farmed,High,0.11209439950071
2016-07-01,Farmed,Low,0.09722649827541
2016-07-01,Farmed,Medium,0.08181658621375
2016-07-01,Mixed,Low,0.63599071027799
2016-07-01,Mixed,Medium,0.45753034505637
2016-07-01,Wild,High,0.76008216572791
2016-07-01,Wild,Low,0.18964289560411
2016-07-01,Wild,Medium,0.1207587732904
2016-08-01,Farmed,High,0.11284161988829
2016-08-01,Farmed,Low,0.10176249215726
2016-08-01,Farmed,Medium,0.07480124772041
2016-08-01,Mixed,Low,0.59361802636847
2016-08-01,Mixed,Medium,0.42191193308901
2016-08-01,Wild,High,0.69054947462105
2016-08-01,Wild,Low,0.1470620657782
2016-08-01,Wild,Medium,0.09678096603214
2016-09-01,Farmed,High,0.13293686266478
2016-09-01,Farmed,Low,0.10219046110997
2016-09-01,Farmed,Medium,0.08968855057395
2016-09-01,Mixed,Low,0.6532074926377199
2016-09-01,Mixed,Medium,0.47556346767464003
2016-09-01,Wild,High,0.73399957331339
2016-09-01,Wild,Low,0.19619593541435
2016-09-01,Wild,Medium,0.09934732887881
2016-10-01,Farmed,High,0.13697496109957
2016-10-01,Farmed,Low,0.12486560339914
2016-10-01,Farmed,Medium,0.10362817518352
